publishedAt,title,viewCount,likeCount,commentCount,duration 
2022-01-18T12:39:51Z,5 Min Warm Up Routine - DO THIS before your workout!,520997,14223,374,PT6M15S
2022-01-17T12:00:07Z,20 Min Full Body Burn Workout - It's FUN & Intense!,174238,9026,640,PT21M24S
2022-01-11T12:00:02Z,Best Booty & Legs Workout - With or Without Equipment,379251,16968,489,PT16M14S
2022-01-10T12:00:35Z,Core & Arms Workout - 10 Min Beginner Friendly,304241,12929,534,PT11M41S
2022-01-04T12:02:50Z,Full Body No Jumping Workout - 20 Min - You can do it!,922989,36907,1191,PT21M11S
2022-01-03T12:00:10Z,Get a Flat Stomach & Abs - 10 min | Weight Loss Challenge,1409532,58142,1583,PT11M8S
2022-01-02T12:04:33Z,12 Min Weight Loss HIIT Workout - Weight Loss Challenge 2022,1259351,52112,2103,PT13M35S
2021-12-08T12:00:18Z,I moved to a new country.. Apartment tour,778209,32087,2118,PT9M45S
2021-11-16T12:30:10Z,Goodbye Home..,890086,30947,1731,PT8M25S
2021-11-02T12:00:01Z,15 Min Full Body HIIT Workout - Low Impact Alternatives - DO IT!,1392139,43169,1373,PT15M36S
2021-10-26T12:00:02Z,What I eat to be yummy.. like a SUSHI BURGER (Healthy),401038,15412,782,PT12M46S
2021-10-11T12:00:01Z,10 Min Arms & Upper Body Workout - Home Workout with Dumbbells,949391,21540,855,PT12M36S
2021-10-06T12:00:07Z,Booty Workout You Have to Try | 15 mins Booty & Legs Workout,1163938,42872,1003,PT15M48S
2021-09-21T12:15:01Z,I guess he's a better fitness guru than me - tiktok,390179,18903,1171,PT10M38S
2021-09-14T12:00:10Z,Do This Morning Workout Everyday.. If you want to,1809597,82027,3038,PT15M40S
2021-09-01T12:00:04Z,Realistic what i eat to stay fit - 3 min healthy meal,906724,42605,2463,PT12M42S
2021-08-25T12:00:32Z,I've had enough.,4180151,278995,29451,PT16M56S
2021-08-09T12:00:34Z,25 Min Full Body Workout | You CAN do it and it's fun! | 2 Weeks Shred,3883653,104065,3194,PT25M58S
2021-08-04T12:00:22Z,10 Min Upper Body & Core Workout | 2 Weeks Shred Challenge 2021,2581361,60195,1971,PT11M2S
2021-08-03T12:00:10Z,Lower Body Workout - Legs & Booty | 2 Weeks Shred Challenge,2959672,66199,1411,PT16M2S
2021-08-02T12:00:24Z,Get ABS in 2 Weeks | 2021 2 Week Shred Challenge!,8296053,194573,4676,PT11M11S
2021-07-28T12:00:02Z,DO THIS Workout To Lose Weight | 2 Weeks Shred Challenge 2021,7508619,173867,6015,PT16M11S
2021-07-20T12:00:32Z,MINDBLOWING Before After Results - Video Call with VIEWERS,1632118,42288,1638,PT16M50S
2021-07-13T12:00:11Z,What they REALLY think about my food.. uhoh,386775,14514,1068,PT13M29S
2021-06-30T12:00:16Z,20 Min Full Body Workout to Get Fit | with or without Weights,1758386,40186,1505,PT21M16S
2021-06-23T12:00:19Z,15 Min Toned Arms & Upper Body Workout - Beginner Friendly with Dumbbells,1778235,40794,1517,PT16M8S
2021-06-22T12:00:19Z,15 Mins Legs & Booty Workout | Get Fit Challenge,2055675,44919,1285,PT16M10S
2021-06-21T12:00:11Z,10 Min Abs Workout for defined ABS | 6 pack ABS,4277109,93659,2373,PT11M12S
2021-06-16T12:00:19Z,15 Min Full Body Workout to GET FIT | 2021 Get Fit Challenge,2706956,66024,2398,PT16M2S
2021-05-25T12:00:04Z,You guys are Amazing! 20 million #chloetingchallenge journeys,1242608,40876,2985,PT4M31S
2021-05-19T12:00:10Z,Getting Fit & SNATCHED | What I eat - Easy & Healthy Recipes,1210978,36689,2358,PT13M45S
2021-05-12T12:00:33Z,20 min Full Body HIIT Workout to get Shredded | No Equipment,3581250,104083,3395,PT21M
2021-05-10T12:00:09Z,10 Min ARMS & ABS Workout | Toned Arms - No Equipment,3502956,101258,2840,PT10M59S
2021-05-05T12:00:18Z,10 Min Booty Workout | Perky Butt - No Equipment,4624262,126308,3421,PT11M10S
2021-05-03T12:00:25Z,10 Min ABS workout | Get Shredded Abs - Summer Shred 2021,7329542,205588,5750,PT11M3S
